Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact
S01532,Andrew Hughes,2012-09-04,Grade 3,421-387-4597
S01533,Lisa Kirk,2007-09-04,Grade 3,2529441712
S01534,Kimberly Vega,2006-08-06,Grade 5,8385558187
S01535,Jennifer Scott,2018-03-30,Grade 2,
S01536,Steven Banks,12-13-2013,Grade 3,290.832.6778
S01537,Julie Johnson,2008-03-15,Grade 4,001-847-558-3008x54422
S01538,William Jones,2009-02-14,Grade 3,457-868-0503x3448
S01539,Jacqueline Wright,2007-09-19,Grade 2,+1-752-821-2650x0673
S01540,Michael Stanley,2008-09-04,Grade 3,
S01541,Kurt Hale,09-04-2016,Grade 1,300-261-9392x5414
S01542,Deborah Benjamin,2011-02-23,Grade 5,242.791.4961
S01543,Rebecca Meyer,2015-01-08,Grade 5,831-995-7956x3254
S01544,peter ramirez,2012-03-05,Grade 4,588.367.3788x95653
S01545,Charlotte Yoder,06-26-2015,Grade 2,447.461.8374x61868
S01546,James Carter,2017-09-21,Grade 1,822-883-2942x83227
S01547,Mrs. Megan Diaz MD,2008-10-09,Grade 4,(728)961-9093x52584
S01548,Amanda Jones,2008-10-16,Grade 1,
S01549,Jamie Chavez,2010-01-11,Grade 5,(690)452-8021
S01550,Caroline Ross,2013-10-30,Grade 1,001-589-659-3971x96851
S01551,Oscar Smith,2013-07-02,Grade 1,5744690741
S01552,Robin Golden,07-18-2010,Grade 3,334.636.8282x7136
S01553,Abigail Cook,2016-07-20,Grade 4,001-758-219-6485x920
S01554,Christopher Hurley,09-13-2010,Grade 2,5454229301
S01555,Taylor Reed,2012-05-12,Grade 1,+1-963-214-9236x80235
S01556,Joseph Hardy,2017-10-14,Grade 1,322.608.6247x624
S01557,John Norton,2013-09-26,Grade 3,(715)944-1078x956
S01558,Oscar Potts,2012-04-03,Grade 5,+1-696-527-4593
S01559,David Olson,2016-11-16,Grade 1,001-920-293-7549x09903
S01560,Justin Stevenson,2016-10-29,Grade 2,+1-339-815-4367x6310
S01561,Stephanie Harrison,2014-03-22,Grade 2,+1-894-208-5834x21866
S01562,Jeanette Burns,2011-08-21,Grade 4,304-299-0984
S01563,Mark Morales,2009-09-11,Grade 4,330-317-4718x1478
S01564,Stefanie Faulkner,2017-02-16,Grade 1,001-868-396-9145x3891
S01565,Christine Howard,2006-10-20,Grade 5,+1-321-587-2366x8452
S01566,Jeremiah Lester,2018-11-16,Grade 5,(288)534-5736x603
S01567,David Collins,2014-06-24,Grade 1,420.664.1122x6970
S01568,Elizabeth Cohen,02-08-2018,Grade 5,551-719-3985x746
S01569,Scott Prince,2015-10-08,Grade 2,(571)624-4220x45448
S01570,Susan Mendez,2017-06-28,Grade 1,(245)308-7000
S01571,Lisa Ramos,2018-09-10,Grade 4,(762)415-1281x888
S01572,Kayla Turner,2016-04-22,Grade 3,364-529-3160x626
S01573,john carter,2013-09-13,Grade 1,765-492-0549
S01574,benjamin berry,2014-05-10,Grade 1,001-799-766-0034x522
S01575,Jill Ho,2011-11-29,Grade 2,500.360.5629
S01576,Brian Vargas,2012-10-06,Grade 3,+1-913-748-1434x2734
S01577,Catherine Dunn,2010-12-18,Grade 1,+1-490-413-3379
S01578,Karen Dixon,2012-04-08,Grade 1,(244)568-7997x97383
S01579,barry hahn,2017-05-25,Grade 1,326-405-4439
S01580,jasmine hamilton,2009-06-09,Grade 5,968.857.9886
S01581,Yvette Fields,2015-10-05,Grade 4,001-843-298-4624
S01582,Ashley Clark,2016-12-02,Grade 4,816.682.8254x1068
S01583,Jessica Gonzalez,2007-06-02,Grade 1,001-533-873-4134x72006
S01584,Maria Perez,2012-05-15,Grade 3,472-717-6077x25261
S01585,Elizabeth Wells,2014-02-18,Grade 4,7879149571
S01586,Veronica Adams,2015-07-19,Grade 3,
S01587,Kelsey Edwards,01-05-2018,Grade 3,(487)630-4335
S01588,Tammy Rogers,2009-07-25,Grade 5,2863837009
S01589,Christina Maxwell,06-10-2018,Grade 4,001-574-631-3466x334
S01590,Michelle Herrera,2013-06-29,Grade 5,001-814-840-2687
S01591,pamela smith,2009-11-10,Grade 4,545-771-1133x416
S01592,Ashley Roberts,11-06-2016,Grade 2,+1-322-887-4845x44327
S01593,Robert Scott,2008-05-11,Grade 2,+1-539-739-3393x5380
S01594,Chloe Gonzalez,2015-07-01,Grade 2,2202287153
S01595,Jaime Johnson,10-31-2011,Grade 5,937.847.4810x840
S01596,Ashley Kline,2010-03-26,Grade 5,939-912-1111
S01597,Bryan Anderson,2019-03-07,Grade 5,724-648-2478
S01598,tyler garcia,2011-05-27,Grade 5,203-909-5601x37401
S01599,Mrs. Susan Clark,2014-02-23,Grade 5,(786)212-5253
S01600,elizabeth phillips,2008-04-04,Grade 3,+1-360-967-9307x6375
S01601,Joan Miller,2019-01-21,Grade 3,(978)586-0067
S01602,jeffrey dominguez,2006-04-20,Grade 2,(329)636-5317x891
S01603,jeffery allen,2006-03-19,Grade 5,4168970642
S01604,Anne Aguilar,2008-09-01,Grade 5,541.934.0604x576
S01605,Tracy Cunningham,2008-04-01,Grade 3,001-955-645-6828
S01606,Nancy Scott,2018-03-29,Grade 1,001-814-506-6952x89656
S01607,Lisa Martinez,2009-05-09,Grade 5,001-414-469-8065x37297
S01608,Isaac Brown,2017-04-24,Grade 5,510-475-1421
S01609,Sheena Acevedo,2010-10-03,Grade 5,582-391-2708x840
S01610,Ricardo Fletcher,2019-03-07,Grade 4,+1-728-730-1736x781
S01611,Kelly Young,2019-01-18,Grade 1,703.437.4737x59990
S01612,Vicki Smith,2015-08-30,Grade 3,(678)756-0392
S01613,Laura Baker,2009-04-06,Grade 2,515.498.6651
S01614,Kimberly Vazquez,2006-11-21,Grade 1,001-805-480-9826x796
S01615,Donna Wilson,2013-08-27,Grade 2,(639)940-4868x29359
S01616,Elaine Porter,2014-03-24,Grade 2,(781)649-9221
S01617,Johnny Murray,2010-02-22,Grade 2,717.499.8026
S01618,stephanie ayers,2010-03-27,Grade 2,
S01619,Richard Fletcher,2015-02-10,Grade 4,338.593.3484
S01620,Rodney Miller,2015-03-04,Grade 2,001-508-395-2223
S01621,jordan phillips,2009-04-09,Grade 2,(900)634-3787x49284
S01622,Madeline Shah,2009-01-30,Grade 1,308.564.5174
S01623,calvin taylor,2018-08-22,Grade 5,729.663.1118x9073
S01624,Kevin Thomas,2007-04-14,Grade 2,697.430.8136x09697
S01625,Matthew Lane,2006-10-27,Grade 3,(332)858-8421x8500
S01626,William Valdez,01-11-2015,Grade 1,488.527.5657x2984
S01627,Kristen Jacobs,2012-05-02,Grade 5,+1-244-788-1362x82125
S01628,Tiffany Rose,2012-05-10,Grade 4,(641)995-0547
S01629,Amanda Wilson,2009-06-10,Grade 5,001-601-566-1006x0464
S01630,Diana Bowers,2016-08-26,Grade 2,(538)306-5585x204
S01631,eric barrett,2008-08-13,Grade 2,804.337.5375x220
S01632,Nicole Davis,02-18-2008,Grade 3,
S01633,Stephanie Newman,2007-11-25,Grade 5,+1-607-690-1033x93183
S01634,mrs. kathy wilson,2009-03-15,Grade 5,+1-946-910-7154x1565
S01635,Melissa Thornton,2019-02-04,Grade 3,001-497-887-7906x8406
S01636,Gregory Scott,2013-11-29,Grade 5,584.730.3545
S01637,Roger Rodriguez,2015-10-06,Grade 2,(794)961-2536x21669
S01638,Amanda Perkins,2016-08-05,Grade 5,8359195427
S01639,stephen johnson,2008-03-25,Grade 1,+1-604-525-9077x936
S01640,Kelly Pierce,2007-12-23,Grade 1,(346)315-4520
S01641,Patrick Welch,2013-08-21,Grade 2,822.704.1127x27079
S01642,paul mccormick,2017-08-31,Grade 5,+1-488-783-5515x024
S01643,Kyle Parker,2017-11-28,Grade 4,880.890.7431x617
S01644,Ashley Hernandez,2006-04-18,Grade 3,410.910.5428x109
S01645,Robert Howard,2016-02-25,Grade 5,001-323-763-4536x216
S01646,garrett smith,2009-03-12,Grade 2,214-455-5191
S01647,Stephen Orr,11-05-2010,Grade 2,924-402-1733x534
S01648,Daniel Howard,2016-02-16,Grade 5,001-722-940-4014x765
S01649,Scott Lopez,2016-05-08,Grade 3,001-841-248-2724x32964
S01650,Paula Knight,2017-05-31,Grade 4,(629)520-6770x21852
S01651,Troy Lawson,2006-06-04,Grade 4,+1-610-312-8064
S01652,Michael Reyes,2009-05-31,Grade 4,954-546-5577x856
S01653,Kevin Lawson,2008-01-29,Grade 1,(825)862-9931x78589
S01654,Walter Holland,2018-11-15,Grade 2,
S01655,ian payne,2015-10-19,Grade 4,7949501346
S01656,Mr. Dylan Sanchez,2014-09-21,Grade 2,
S01657,Stephanie Bryant,2007-11-23,Grade 1,
S01658,Amy Tucker,2018-07-06,Grade 3,(973)333-5657
S01659,John Hobbs,2015-04-14,Grade 5,2726682207
S01660,Jacob Gomez,2014-05-06,Grade 4,(635)553-4973x2656
S01661,James Gonzales,2008-09-26,Grade 2,+1-695-905-2070x79500
S01662,Jennifer Harvey,2006-12-07,Grade 3,(624)331-0483x00275
S01663,Keith Sims,2018-08-15,Grade 5,865-755-2781x8550
S01664,jonathan cruz,2006-07-31,Grade 5,(543)375-0974x5534
S01665,Joshua White DDS,2014-11-17,Grade 5,5146250132
S01666,Jon Leach,2006-09-03,Grade 1,+1-253-233-1629x7742
S01667,Connie Johnson,2011-08-01,Grade 3,(378)290-4548x02684
S01668,Robert Jones,2013-07-10,Grade 4,6462886318
S01669,michelle wheeler,2012-12-27,Grade 1,838.330.7399x927
S01670,Mr. Steven Mercer,2017-08-03,Grade 4,4172887045
S01671,John Miranda,2009-08-19,Grade 1,001-567-487-9920x6634
S01672,Alexis Harris,2009-03-24,Grade 4,4524620230
S01673,Carlos Yang,2012-08-20,Grade 3,229.938.9250x792
S01674,Robert Hoover,2016-10-06,Grade 2,367-512-6967
S01675,Richard Guerra,2018-10-14,Grade 3,
S01676,James Cole,2012-05-11,Grade 4,(916)648-1783
S01677,joshua nichols,2018-11-05,Grade 2,+1-821-807-9024
S01678,Eric Garcia,2008-08-14,Grade 3,+1-424-246-4419x79027
S01679,Derrick Johnson,2007-09-20,Grade 4,(638)339-4921
S01680,Darrell Garcia,2007-06-16,Grade 4,397.975.8616x68044
S01681,Alicia Wallace,2006-05-18,Grade 2,001-760-824-5637x0632
S01682,Kathleen Williams,2011-06-25,Grade 3,598.649.9720
S01683,Raymond Aguilar,2017-10-05,Grade 5,404.940.2838
S01684,Christopher Graham Jr.,2015-09-06,Grade 1,751-956-0180
S01685,Angel Thornton,2006-10-15,Grade 4,(832)581-0631x9325
S01686,Robert Chapman,2007-02-14,Grade 3,
S01687,Tanya Anderson,2013-09-12,Grade 5,8584260812
S01688,Bradley Holmes,2018-08-02,Grade 4,(562)549-0320
S01689,Tristan Green,2012-04-27,Grade 3,(204)941-9858x0509
S01690,Joshua James,2012-08-19,Grade 4,(772)464-7920x32773
S01691,Timothy Mcpherson,2007-12-11,Grade 2,(229)924-9113x36983
S01692,Kenneth Valencia,2010-12-20,Grade 2,3163023128
S01693,Richard Hernandez,2013-08-16,Grade 1,922.278.9578x6685
S01694,monique grant,2012-03-06,Grade 3,612.477.5554x716
S01695,paul howard,2010-05-30,Grade 1,(651)528-6070x7178
S01696,Heidi Lee,2011-09-17,Grade 4,+1-363-693-9683x588
S01697,Kristina Gomez,2011-04-28,Grade 2,6388843118
S01698,Shelley Bryant,2006-05-24,Grade 4,930-365-9572x261
S01699,Sheri Wiley,2008-08-10,Grade 4,740-508-7752
S01700,Stephanie Lee,2013-02-21,Grade 5,001-765-592-2914x5567
S01701,Blake Cook,2010-11-10,Grade 1,(310)996-4274
S01702,Stephanie Johnson,2007-03-28,Grade 1,2777924920
S01703,David Sutton,2011-09-30,Grade 3,
S01704,chad archer,2007-08-17,Grade 1,001-631-691-5012x1549
S01705,Philip Smith,2009-06-26,Grade 4,+1-858-461-8017x171
S01706,Lori Cook,04-17-2009,Grade 3,(226)246-6938
S01707,Steven Townsend,02-22-2012,Grade 5,001-839-792-3767x18745
S01708,Cheryl Harvey,2017-02-15,Grade 3,+1-476-453-8866x4892
S01709,Kimberly Rose,02-19-2012,Grade 4,649-270-4212x96757
S01710,Kenneth Miller,2011-04-27,Grade 1,+1-860-631-6932
S01711,Trevor Pollard,2014-08-26,Grade 5,001-697-345-8166x878
S01712,mark chung,2009-02-07,Grade 1,+1-451-449-6726
S01713,Heidi Foster,2014-02-25,Grade 2,467-738-5867x5449
S01714,Erica Olson,2016-10-11,Grade 3,411-859-3368x0783
S01715,Rick Allen,2015-08-02,Grade 4,2228470428
S01716,Kathleen Gates,2009-10-31,Grade 4,+1-869-798-5306x5773
S01717,Joe York,2010-08-29,Grade 1,+1-878-470-3860x6318
S01718,Sarah Smith,2018-02-06,Grade 2,550.800.0020x84429
S01719,Cindy Riley,07-10-2006,Grade 1,964-816-9718x12081
S01720,Thomas Morgan,04-22-2017,Grade 4,(545)971-9562x5535
S01721,Michael Roberts,2006-03-22,Grade 4,001-401-918-0717x6960
S01722,deanna burgess,2011-06-12,Grade 5,369-376-3423x16975
S01723,tammy hood,2012-01-29,Grade 3,+1-461-272-2217
S01724,Luis Lawson,2013-04-16,Grade 4,400.849.7070x2556
S01725,Jonathan Wong Jr.,2018-02-11,Grade 2,353-642-9578x2955
S01726,Steven Lowe,2018-11-15,Grade 5,508-333-8845x1533
S01727,Marisa Ramos,2011-01-03,Grade 5,8374641634
S01728,Anthony Green,2011-04-16,Grade 4,+1-697-409-9179x4260
S01729,John Miller,2006-11-07,Grade 2,7424003419
S01730,Rachel Reed,2017-01-24,Grade 5,(727)278-2307x83837
S01731,David Rivera MD,2016-04-12,Grade 2,688-229-9324x636
S01732,Levi Boyd,2014-04-27,Grade 3,001-534-452-5274x18200
S01733,Kenneth Ford,06-19-2016,Grade 4,+1-766-426-0762x9756
S01734,Michael Hall,2012-10-28,Grade 5,001-225-831-6227x03730
S01735,marie bishop,2008-01-26,Grade 4,+1-846-797-2851x606
S01736,jessica smith,2011-09-25,Grade 3,526.764.5149x895
S01737,Wanda Turner,2009-03-21,Grade 1,(669)686-4784
S01738,Lisa Rodriguez,2015-04-08,Grade 5,943-694-5857x5947
S01739,Lindsey Sparks,2012-12-16,Grade 5,329-297-2598x70905
S01740,marilyn white,2015-10-30,Grade 5,(292)338-4300x9751
S01741,Hannah Hayden,2012-03-03,Grade 3,001-465-701-9932x091
S01742,John Taylor,2012-12-23,Grade 3,001-508-438-0183x32500
S01743,Daniel Mann,2009-03-07,Grade 5,9629132428
S01744,Richard Liu,2017-12-10,Grade 3,687.932.4637x763
S01745,Christopher Roach,2013-06-26,Grade 1,001-272-912-4090x1261
S01746,Isaac Carr,2008-11-22,Grade 2,+1-413-627-4164
S01747,Adam Williams,2012-07-15,Grade 3,757.701.8257x557
S01748,Alyssa Bailey,2010-08-01,Grade 3,271.225.2915x4350
S01749,Derek Haynes,11-16-2007,Grade 4,001-300-310-4234x545
S01750,Erika Smith,2008-06-12,Grade 2,836.203.9257x01331
S01751,Donna Golden,06-09-2014,Grade 1,422-561-1889x313
S01752,Kristen Watkins,2017-06-13,Grade 2,249.716.5637x521
S01753,Veronica Long,2008-07-16,Grade 5,926-646-9999x427
S01754,Daniel Ortiz,2012-01-28,Grade 1,646.681.0206
S01755,Aaron Johnson,2009-08-08,Grade 5,224.610.0344x139
S01756,Nicholas Garcia,2015-09-17,Grade 5,(808)427-8746
S01757,Leslie Dawson,06-02-2017,Grade 3,+1-883-407-6210x8869
S01758,Mrs. Rebecca Avila,2017-03-27,Grade 2,926-873-1236
S01759,Tyrone Richards,2016-06-25,Grade 4,537-470-8779
S01760,jacob brown,2014-12-18,Grade 2,645-201-2688x5978
S01761,jenna huber,2018-04-05,Grade 4,988.600.8364
S01762,Thomas Ramos,2018-06-11,Grade 3,652-428-7697x352
S01763,Christopher Daniels,2007-08-15,Grade 3,694-735-9666x17165
S01764,Felicia Russell,2013-08-06,Grade 3,487.563.3362x6283
S01765,Kimberly Carter,2017-04-17,Grade 3,843.884.8131x911
S01766,David Love,2015-11-26,Grade 3,573.206.1986x70574
S01767,Julie Lowe,2015-12-09,Grade 4,001-850-731-8613
S01768,tracy davidson,2016-05-13,Grade 4,(784)772-4204x181
S01769,Carolyn White,2016-08-04,Grade 1,559-364-0654x637
S01770,Alan Gutierrez,2010-10-15,Grade 1,815.264.2722
S01771,Erica Lopez,2007-07-02,Grade 2,319.774.0411
S01772,Katie Drake,2008-11-13,Grade 2,765.722.3971x8547
S01773,Michael Mitchell,2013-09-13,Grade 4,9955820569
S01774,Leah Ingram,2014-11-08,Grade 2,548.232.9750x26355
S01775,Dustin Donaldson,2010-04-02,Grade 5,595.229.8685x514
S01776,Scott Horn,2010-08-12,Grade 1,257.306.3644x6007
S01777,Kristin Freeman,2013-09-21,Grade 5,(708)584-8533
S01778,Deborah Norman,2016-05-19,Grade 1,493.527.6028x34984
S01779,Amanda Morgan,2015-01-07,Grade 4,+1-446-901-4439x714
S01780,Mary Fox,2010-01-31,Grade 5,2989896379
S01781,Julie Vance,2014-09-26,Grade 1,364.456.4764
S01782,Debra Mack,2010-11-24,Grade 2,001-278-278-1510x60283
S01783,Patrick Camacho,2008-07-04,Grade 3,407-627-6199x0926
S01784,Regina Porter,10-17-2017,Grade 1,635-587-8085x7611
S01785,Erin Richard,2012-01-21,Grade 5,+1-387-800-7701x06634
S01786,Steven Todd,2013-02-18,Grade 2,001-636-338-9370x2748
S01787,Steven Jones,2012-08-04,Grade 4,001-460-883-4377x9929
S01788,Jason Perez,2011-02-23,Grade 4,8396762150
S01789,Rick Marshall,10-06-2018,Grade 1,001-569-322-0393
S01790,Yesenia Kelly,07-03-2017,Grade 2,(214)649-5762x60119
S01791,Rachel Horton,2009-12-07,Grade 3,419.321.0080
S01792,Troy Gilmore,2006-11-21,Grade 4,9828331965
S01793,bailey morrow,2010-06-18,Grade 4,001-712-845-1386
S01794,Ashley Young,2006-03-30,Grade 4,001-526-427-2552
S01795,Martin Silva,2006-04-22,Grade 1,394.648.2737
S01796,Jeanne Spencer,2008-08-15,Grade 2,519.915.1378x58210
S01797,Deborah Olsen,2012-01-28,Grade 2,(225)844-0187
S01798,James Clark,2016-12-22,Grade 4,523.255.6592x2506
S01799,Joseph Parker,2012-07-08,Grade 2,512-923-1714
S01800,Robert English,2013-12-15,Grade 3,(682)350-2794x70915
S01801,Natalie Johnson,09-03-2013,Grade 2,443-879-3659x22960
S01802,Kathleen Vazquez,2018-11-01,Grade 3,893-211-5468
S01803,stephanie whitaker,2016-04-19,Grade 4,001-883-319-9203x616
S01804,Mary Watson,2014-04-24,Grade 2,296.926.6686
S01805,Jacqueline Hess,2010-10-13,Grade 4,3135607662
S01806,Tracy Bryan,2009-07-13,Grade 1,+1-924-330-2545x359
S01807,joshua johnson,2014-07-18,Grade 1,218.670.3200x43714
S01808,Alexander Booth,2017-11-09,Grade 5,+1-759-339-2515
S01809,Jared Atkinson,2012-03-12,Grade 1,855.476.2079x91211
S01810,Brandi Hernandez,11-20-2016,Grade 3,(673)823-9052
S01811,mr. travis carter md,08-02-2018,Grade 3,899-615-6197x65907
S01812,victoria morales,2011-10-10,Grade 3,001-426-311-7470
S01813,Michael Smith,2007-08-04,Grade 3,8249200467
S01814,Kirsten Sanchez,2014-04-09,Grade 2,001-251-504-7942x9575
S01815,Pamela Jackson,2017-08-26,Grade 5,+1-665-794-9327
S01816,Christine Watkins,2013-01-03,Grade 3,+1-436-372-0839x389
S01817,Alison Reid,2010-08-09,Grade 1,823.951.4537x3397
S01818,Lori Davis,2012-05-23,Grade 2,404-856-2016
S01819,michael goodwin,2008-03-02,Grade 5,+1-447-307-0154x901
S01820,Jennifer Rodriguez,2015-02-16,Grade 4,(562)419-9204x4412
S01821,Shannon Hernandez,2008-05-21,Grade 1,+1-731-289-5545
S01822,Amanda Armstrong,2018-04-25,Grade 5,(939)365-7799x4495
S01823,Darrell Rivera,2017-10-21,Grade 2,(369)283-4608x1925
S01824,michael wright,2018-11-14,Grade 2,498.467.2265x73892
S01825,Shawn Campbell,2006-12-05,Grade 1,684-510-5789
S01826,adam benson,2017-05-17,Grade 3,(880)732-9831x18349
S01827,Kimberly Parker,2010-02-24,Grade 2,943-285-3117x0562
S01828,Diane Burton,2008-12-22,Grade 2,001-989-764-7484x96867
S01829,Mary Johnson,2006-05-06,Grade 5,356.686.4022
S01830,Cody Brown,2012-01-09,Grade 2,+1-300-283-9006x65967
S01831,Jacqueline Gardner,2008-05-14,Grade 4,(393)896-8563x981
S01832,amanda pruitt,2009-07-02,Grade 1,+1-787-232-6716
S01833,Shannon Anderson,2010-07-23,Grade 2,+1-923-964-2441
S01834,bradley cook,2011-06-02,Grade 1,817-576-3287x377
S01835,Jeff Young,2013-04-19,Grade 5,666-699-0427x48594
S01836,Richard Mason,2009-04-08,Grade 3,(946)480-4917x44676
S01837,angela daniels,2015-03-04,Grade 2,+1-892-451-6367x43610
S01838,William Bond,2008-10-06,Grade 4,789-255-8100x901
S01839,erik perry,2011-11-22,Grade 4,+1-403-939-0541
S01840,Sarah Jenkins,12-13-2017,Grade 5,+1-359-600-6787x3342
S01841,Jonathan Peters,2014-02-11,Grade 5,699.685.2259x07511
S01842,Tammie Watts,11-12-2018,Grade 4,(284)329-9724x942
S01843,Victoria Reid,2014-05-07,Grade 1,(463)515-0699x905
S01844,Michael Mcgee,2014-12-22,Grade 5,001-826-431-8127
S01845,Erin Beltran,2006-10-05,Grade 2,001-784-378-5762x336
S01846,Cindy Wilson,2011-09-03,Grade 5,601.448.9343
S01847,alyssa gonzalez,2016-06-11,Grade 1,518.255.3986x50347
S01848,Cody Blake,2018-08-19,Grade 3,+1-335-337-9036x74574
S01849,david rodriguez,2008-09-13,Grade 2,(214)863-9419x438
S01850,Michael Briggs,2017-06-16,Grade 1,(586)291-7952
S01851,Kirsten Anderson,2009-01-27,Grade 3,311-541-4363
S01852,Allen Moore,03-14-2009,Grade 1,001-311-847-9446
S01853,Madison Armstrong,2016-07-21,Grade 2,2173584867
S01854,Cheryl Watkins,2011-06-01,Grade 3,232-805-2189
S01855,John Ford,2013-09-19,Grade 3,001-783-935-5900
S01856,Robert Cook,2009-10-12,Grade 2,001-398-457-6919x802
S01857,Mark Foster,2006-04-16,Grade 5,3277380309
S01858,David Garcia,2014-07-31,Grade 5,001-904-270-4254
S01859,Michele Greene,2014-09-21,Grade 3,560.253.2765x8929
S01860,Kimberly Adams,2007-07-17,Grade 3,301-569-1439
S01861,blake owens,2016-09-17,Grade 3,(537)500-4478x70079
S01862,Michael Miles,2007-06-12,Grade 5,455-840-4458x579
S01863,Nicholas Boone,2018-01-05,Grade 2,(414)780-8175
S01864,Maria Moreno,2014-11-28,Grade 1,308.333.7828x727
S01865,Joshua Stout,2010-11-16,Grade 1,247.771.2291x7962
S01866,Mr. Oscar Brown,2007-12-11,Grade 3,+1-546-753-9728x25587
S01867,Anna Howard,2015-04-18,Grade 5,001-630-388-0300x680
S01868,Christopher Lewis,2019-03-08,Grade 4,570-620-5413x282
S01869,Steven Washington,02-28-2011,Grade 3,+1-586-924-2164x221
S01870,Timothy Robinson,2011-02-09,Grade 2,001-763-609-8837x12712
S01871,Maria Adams MD,2018-07-25,Grade 2,400.393.2197
S01872,jaime williams,2012-08-30,Grade 5,+1-461-306-5313
S01873,brandon price,2013-02-05,Grade 3,(703)822-0610
S01874,Julie Horne,2015-11-21,Grade 5,001-415-529-1042
S01875,Hannah Carlson,2013-09-10,Grade 3,8613394599
S01876,Lisa Moore,2014-05-19,Grade 3,+1-607-561-5401x939
S01877,zoe faulkner,2010-08-11,Grade 4,651-784-6244x2148
S01878,Monica Brown,2013-01-10,Grade 2,770.456.7008x043
S01879,Michael Jackson,12-21-2010,Grade 1,
S01880,emily knox,2010-05-22,Grade 4,(296)350-2537x8321
S01881,Mr. Chad Odonnell,2009-10-25,Grade 3,+1-250-402-0478x98482
S01882,Desiree Scott,2011-04-08,Grade 1,001-729-518-3663
S01883,Laurie Myers,2014-01-27,Grade 2,+1-643-290-1190x54341
S01884,Katrina Davis,06-16-2008,Grade 1,+1-445-245-0242x893
S01885,Janice Wallace,2013-01-16,Grade 4,482.547.1486
S01886,Ann Velazquez,2013-04-16,Grade 1,+1-789-732-8344x92334
S01887,Kim Williams,2014-06-07,Grade 2,4489803634
S01888,Charles Swanson,2014-10-07,Grade 3,(246)646-5476
S01889,Julie Kelley,2013-12-14,Grade 2,001-430-646-3779x65348
S01890,Kara Davis,2007-01-04,Grade 2,(498)838-4957x8482
S01891,Bruce Higgins,07-10-2013,Grade 1,(460)983-1356
S01892,lisa martin,06-20-2018,Grade 2,001-668-589-4206x62442
S01893,Ronald Gordon,2016-09-16,Grade 2,+1-270-693-2316
S01894,Michelle Compton,2017-08-19,Grade 2,747-727-3907x0942
S01895,Kendra Stokes,2013-09-08,Grade 4,702-665-7527x938
S01896,katie burton,2008-07-10,Grade 4,(990)703-3173x84204
S01897,Jennifer Reyes,2013-03-17,Grade 4,001-677-782-1900x1323
S01898,Diane Bryant,2008-09-16,Grade 5,001-650-778-2859x021
S01899,Shawn Woodward,2017-09-20,Grade 3,
S01900,Cristina Barnes,2007-06-30,Grade 5,516-508-0814
S01901,Blake Hunter,2011-07-01,Grade 1,001-284-372-6881x353
S01902,Brandy Oliver,2017-08-13,Grade 2,3295635172
S01903,John Hill,2006-05-24,Grade 1,+1-778-258-3497x759
S01904,Michael Foster,2007-11-18,Grade 4,(612)628-4310x200
S01905,Emily Andrews,2009-04-11,Grade 2,601.570.7002
S01906,Anne Patterson,2014-02-11,Grade 2,5687830545
S01907,Heidi King,2013-01-03,Grade 5,273-870-2343x84783
S01908,Kristen Rangel,2017-12-28,Grade 5,(844)327-9684x63345
S01909,Dennis Gilbert,2013-05-31,Grade 3,684-315-9923
S01910,Robert Castro,2011-02-06,Grade 4,001-961-301-1442
S01911,Robert Garcia,2006-04-29,Grade 3,+1-503-753-6544
S01912,Katherine Horn,2017-04-16,Grade 2,526-461-1913
S01913,Kristopher Berg,2011-01-02,Grade 3,755.886.4823x409
S01914,jeanette bridges,2009-08-10,Grade 1,+1-285-944-4377x07268
S01915,keith vasquez,2006-08-28,Grade 5,6832865939
S01916,Robin Shaw,2008-05-20,Grade 4,863.298.5115x0264
S01917,Christina Roberts,2008-04-22,Grade 1,+1-505-395-7836
S01918,Patricia Scott,2018-04-19,Grade 3,001-443-377-8106
S01919,james gilbert,2015-02-12,Grade 2,932-982-9086x1560
S01920,Heather Baker,2011-04-22,Grade 1,476-785-8343
S01921,Connie Arnold,2017-02-26,Grade 4,771-380-4352
S01922,Leslie Hampton,2007-08-20,Grade 2,560-768-0748
S01923,Michael Clark,2007-09-08,Grade 4,(835)668-2443x6362
S01924,christine hernandez,2019-01-27,Grade 1,582.293.8070x215
S01925,George Jackson,08-06-2008,Grade 5,408.724.4275x970
S01926,Anna Davies,2010-03-19,Grade 5,692.930.3186x35501
S01927,Casey Wolf,2006-11-17,Grade 2,(805)389-5786x16161
S01928,William West,2013-02-05,Grade 1,
S01929,David Smith,2008-01-02,Grade 4,(679)616-6268x0719
S01930,Kenneth Andrews,2011-10-23,Grade 2,892.521.7589
S01931,Calvin Graham,2007-12-06,Grade 2,201.874.3148
S01932,Timothy Smith,2008-12-04,Grade 5,001-336-808-5355x32885
S01933,Monica Chavez,2008-04-29,Grade 4,6969123853
S01934,Clarence Miller,2011-01-10,Grade 2,8915650529
S01935,Alyssa David,2006-12-23,Grade 4,+1-971-548-5040
S01936,Ashley Walsh,2006-09-28,Grade 2,545.643.8793x79525
S01937,Stephanie Villa,2014-01-14,Grade 1,(640)417-7726x844
S01938,Jay Anderson,2011-08-19,Grade 3,+1-419-974-5890x145
S01939,Laurie Henry,2014-11-18,Grade 3,(863)858-3879x32834
